Title,Publication Number,Status,Country,File Year,Grant Year,Priority Year,Publication Year,Expiration Year,Ultimate Parent,Normalized Assignee,origin,fixed,floating,gravity-based,jacket,monopile,tripod,tripile,suction bucket,tlp,spar,semi-submersible,Region
"Vessel for transporting wind turbines, methods of moving a wind turbine, and a wind turbine for an off-shore wind farm",US20040262926,Expired,US,2004.0,2007.0,2003.0,2004.0,2007.0,Logima Vsvend Erik Hansen,Logima Vsvend Erik Hansen,True,False,False,False,False,False,False,False,False,False,False,False,North America
Cooling arrangement for an offshore wind energy installation,US20050006905,Expired,US,2004.0,2006.0,2003.0,2005.0,2006.0,Rittal Gmbh & Co Kg,Rittal Gmbh & Co Kg,False,True,False,False,False,False,False,False,False,False,False,False,North America
Unit type windmill,US20050008472,Expired,US,2004.0,,2001.0,2005.0,2006.0,,,False,False,False,False,False,False,False,False,False,False,False,False,North America
Superfinishing large planetary gear systems,US20050014597,Expired,US,2004.0,2012.0,2003.0,2005.0,2012.0,Rem Technologies,Rem Technologies Inc,False,True,False,False,False,False,False,False,False,False,False,False,North America
Converting pressure energy from renewable energy sources into electrical energy,US20050132699,Expired,US,2003.0,,2003.0,2005.0,2005.0,,,True,False,False,False,False,False,False,False,False,False,False,False,North America
Offshore energy platform,US20050134050,Expired,US,2003.0,,2003.0,2005.0,2005.0,,,True,True,False,False,False,False,False,False,False,False,False,False,North America
Use of intersecting vane machines in combination with wind turbines,US20050135934,Expired,US,2003.0,,2003.0,2005.0,2009.0,"General Compression, Inc.,massachusetts","General Compression, Inc.,massachusetts",True,True,False,False,False,False,False,False,False,False,False,False,North America
Pressure reservoir structure for use in water,US20050158184,Expired,US,2004.0,,2004.0,2005.0,2007.0,,,False,False,False,False,False,False,False,False,False,False,False,False,North America
Evaporator tube for a sea water desalination plant,US20050161166,Expired,US,2004.0,2009.0,2002.0,2005.0,2009.0,Wme Gesellschaft Fur,Wme Gesellschaft Fur,False,True,False,False,False,False,False,False,False,False,False,False,North America
Wind power system,US20050161950,Expired,US,2004.0,2008.0,2003.0,2005.0,2008.0,Polestar Ltd Bermuda,Polestar Ltd Bermuda,True,False,False,False,False,False,False,False,False,False,False,False,North America
"Methods of mounting a wind turbine, a wind turbine foundation and a wind turbine assembly",US20050163616,Expired,US,2004.0,2007.0,2002.0,2005.0,2007.0,Vestas Wind Systems A/s,Vestas Wind Systems As,False,True,False,False,False,True,False,False,False,False,False,False,North America
Wind energy turbine,US20050218656,Expired,US,2005.0,2007.0,2002.0,2005.0,2007.0,,,False,True,False,False,False,False,False,False,False,False,False,False,North America
Device for a wind power station placed in deep water,US20050229836,Expired,US,2005.0,2007.0,2002.0,2005.0,2007.0,"Inocean A.s., Oslo",Inocean Construction As,False,False,False,False,False,False,False,False,False,False,False,False,North America
Mounting of offshore structures,US20050286979,Expired,US,2005.0,2011.0,2002.0,2005.0,2011.0,Ihc Iqip Uk Ltd,Ihc Iqip Uk Ltd,False,True,False,False,False,False,False,False,False,False,False,False,North America
Method and apparatus for determining a site for an offshore wind turbine,US20060005617,Expired,US,2004.0,2006.0,2004.0,2006.0,2006.0,General Electric Company,General Electric Company,True,False,True,False,False,False,False,False,False,False,False,False,North America
Electrical generating system,US3988592,Expired,US,1974.0,1976.0,1974.0,1976.0,1994.0,,,True,False,False,False,False,False,False,False,False,False,False,False,North America
Energy storage system,US3996741,Expired,US,1975.0,1976.0,1975.0,1976.0,1995.0,,,True,False,False,False,False,False,False,False,False,False,False,False,North America
Apparatus for utilizing natural energies,US4159427,Expired,US,1976.0,1979.0,1975.0,1979.0,1996.0,Airbus Group N.v.,Blohm Messerschmitt Bolkow,True,False,False,False,False,False,False,False,False,False,False,False,North America
Wind wheel apparatus for use with a hydro-electric dam,US4166222,Expired,US,1977.0,1979.0,1977.0,1979.0,1997.0,,,True,False,False,False,False,False,False,False,False,False,False,False,North America
Wind turbine blade retention device,US4236873,Expired,US,1978.0,1980.0,1978.0,1980.0,1998.0,United Technologies Corporation,United Technologies Corporation,False,True,True,False,False,False,False,False,False,False,True,False,North America
Bearing support,US4262976,Expired,US,1979.0,1981.0,1979.0,1981.0,1999.0,Hardwick Yvette Ann,Hardwick Yvette Ann,False,False,False,False,False,False,False,False,False,False,False,False,North America
Floating power generation assemblies and methods,US4316704,Expired,US,1980.0,1982.0,1979.0,1982.0,1999.0,,,True,False,False,False,False,False,False,False,False,False,False,False,North America
Process of converting wind energy to elemental hydrogen and apparatus therefor,US4335093,Expired,US,1980.0,1982.0,1980.0,1982.0,2000.0,Temple University,"Temple University, Pennsylvania",True,True,False,False,False,False,False,False,False,False,False,False,North America
"Method for joining two yarn pieces, and the device for carrying out the method",US4356688,Expired,US,1980.0,1982.0,1979.0,1982.0,2000.0,Schweiter Aschinenfabrik Ag Beim Bahnhof 8810,Schweiter Aschinenfabrik Ag Beim Bahnhof 8810,False,True,False,False,False,False,False,False,False,False,False,False,North America
System for propulsion of boats by means of winds and streams and for recovery of energy,US4371346,Expired,US,1980.0,1983.0,1979.0,1983.0,2000.0,Vidal Jean Pierre,Vidal Jean Pierre,False,False,True,False,False,False,False,False,False,False,False,False,North America
Wire cutting apparatus for wire winding machine,US4396042,Expired,US,1981.0,1983.0,1981.0,1983.0,1995.0,Panasonic Corporation,"Matsushita Electric Industrial Co., Ltd. (panasonic Corporation)",True,False,False,False,False,False,False,False,False,False,False,False,North America
Airship-windmill,US4470563,Expired,US,1982.0,1984.0,1981.0,1984.0,1996.0,Gijsbert Johannes Engelsman,Gijsbert Johannes Engelsman,True,False,False,False,False,False,False,False,False,False,False,False,North America
Airship-floated wind turbine,US4491739,Expired,US,1982.0,1985.0,1982.0,1985.0,1997.0,,,True,True,True,False,True,False,False,False,False,False,True,False,North America
Plant for utilization of wind and waves,US4495424,Expired,US,1983.0,1985.0,1981.0,1985.0,1993.0,Joest Bernhard,Bernkhard Jest,False,False,False,False,False,False,False,False,False,False,False,False,North America
Welding apparatus using transformer with movable secondary and its method of manufacture and use,US4544821,Expired,US,1982.0,1985.0,1981.0,1985.0,1997.0,"Preferred Technical Group, Inc., Massachusetts","Preferred Technical Group, Inc., Massachusetts",False,False,False,False,False,False,False,False,False,False,False,False,North America
Flyer method,US4586667,Expired,US,1980.0,1986.0,1980.0,1986.0,2003.0,General Electric Company,General Electric Company,False,False,False,False,False,False,False,False,False,False,False,False,North America
Plant harvester,US4815260,Expired,US,1986.0,1989.0,1986.0,1989.0,1997.0,,,False,True,False,False,False,False,False,False,False,False,False,False,North America
Plant harvester,US4942722,Expired,US,1988.0,1990.0,1986.0,1990.0,1994.0,,,False,True,False,False,False,False,False,False,False,False,False,False,North America
Rein-deer kite,US5056447,Expired,US,1988.0,1991.0,1988.0,1991.0,2003.0,,,True,True,False,False,True,False,False,False,False,False,False,False,North America
Windmill,US5076759,Expired,US,1991.0,1991.0,1986.0,1991.0,2000.0,,,True,False,False,False,False,False,False,False,False,False,False,False,North America
Motor armature coil winding machine,US5100071,Expired,US,1990.0,1992.0,1989.0,1992.0,2000.0,Mitsuba Corporation,Mitsuba Corporation,False,False,False,False,False,False,False,False,False,False,False,False,North America
Bobbin winding machine,US5431353,Expired,US,1993.0,1995.0,1992.0,1995.0,1999.0,Rieter Holding Ag,Maschinenfabrik Rieter Ag,False,False,False,False,False,False,False,False,False,False,False,False,North America
Macro-engineering process and system for all-weather at-sea wind-energy extraction,US5549445,Expired,US,1991.0,1996.0,1987.0,1996.0,2013.0,,,True,True,False,False,False,False,False,False,False,False,False,False,North America
Method for controlling spindle-drive type yarn winder,US5605293,Expired,US,1995.0,1997.0,1994.0,1997.0,2009.0,"Toray Industries, Inc.",Toray Engineering Co Ltd,False,True,True,False,False,False,False,False,False,False,False,False,North America
Ice composite bodies,US6099208,Expired,US,1998.0,2000.0,1996.0,2000.0,2008.0,Padraig Mcalister,Padraig Mcalister,False,False,False,False,False,False,False,False,False,False,False,False,North America
Artificial wind turbine island,US6294844,Expired,US,2000.0,2001.0,1997.0,2001.0,2005.0,"Lagerwey Windturbine B.v., Barneveld","Lagerwey Windturbine B.v., Barneveld",False,False,False,False,False,False,False,False,False,False,False,False,North America
Method for accumulating energy from natural power,US6363718,Expired,US,1999.0,2002.0,1998.0,2002.0,2006.0,,,False,True,False,False,False,False,False,False,False,False,False,False,North America
Method for laying electrical cables from a first offshore wind power plant to a second offshore wind power plant,US6425708,Expired,US,2001.0,2002.0,1998.0,2002.0,2014.0,Aerodyn Eng Gmbh,"Aerodyne Engineering Gmbh, Germany",False,True,False,False,False,False,False,False,False,False,False,False,North America
Device for preventing penetration of corrosive salt particles in an offshore wind energy facility,US6439832,Expired,US,2001.0,2002.0,1998.0,2002.0,2014.0,Multibird Gmbh,"Multibrid Gmbh, 27572 Bremerhaven, De",False,True,False,False,False,False,False,False,False,False,False,False,North America
Offshore wind turbine with liquid-cooling,US6520737,Expired,US,2002.0,2003.0,1999.0,2003.0,2020.0,Mhi Vestas Offshore Wind As,Mhi Vestas Offshore Wind As,False,False,False,False,False,False,False,False,False,False,False,False,North America
Distributed generation drivetrain (dgd) controller for application to wind turbine and ocean current turbine generators,US6653744,Expired,US,2001.0,2003.0,2000.0,2003.0,2011.0,"Platinum Equity, LLC","Clipper Windpower, LLC",False,False,False,False,False,False,False,False,False,False,False,False,North America
Wind energy facility with a closed cooling circuit,US6676122,Expired,US,2002.0,2004.0,1999.0,2004.0,2020.0,Enercon Gmbh,Wobben Aloys,False,True,False,False,False,False,False,False,False,False,False,False,North America
Damping of oscillations in wind turbines,US6695588,Active,US,2002.0,2004.0,1999.0,2004.0,2020.0,Vestas Wind Systems A/s,Vestas Wind Systems As,False,True,False,False,False,False,False,False,False,False,False,False,North America
Winding fabrication method and apparatus for electric coils,US6752343,Active,US,2002.0,2004.0,2001.0,2004.0,2022.0,"Swcc Showa Holdings Co.,ltd.",Swcc Showa Cable Systems Co Lt,False,False,False,False,False,False,False,False,False,False,False,False,North America
Wind and wave energy plant,US6766643,Active,US,2002.0,2004.0,2000.0,2004.0,2021.0,Dana-farber Cancer Institute Inc.,"Dana-farber Cancer Institute, Inc.,massachusetts",False,False,False,False,False,False,False,False,False,False,False,False,North America
"Generator for a windmill, stator module for use in such a generator and use of such a generator",US6781276,Expired,US,2001.0,2004.0,1998.0,2004.0,2020.0,Siemens Ag,Siemens Aktiengesellschaft,False,False,False,False,False,False,False,False,False,False,False,False,North America
Landing stage,US6827032,Active,US,2002.0,2004.0,1999.0,2004.0,2020.0,Enercon Gmbh,Wobben Aloys,False,True,False,False,False,False,False,False,False,False,False,False,North America
Method for operating offshore wind turbine plants based on the frequency of their towers,US6891280,Active,US,2003.0,2005.0,2000.0,2005.0,2021.0,Multibird Gmbh,"Multibrid Gmbh, 27572 Bremerhaven, De",False,True,False,False,False,False,False,False,False,False,False,False,North America
Vortex shedding and drag force reduction,US6908063,Expired,US,2003.0,2005.0,2000.0,2005.0,2009.0,Imperial College London Ltd.,Imperial College Of Science Technology & Medicin,False,True,False,False,False,False,False,False,False,False,False,False,North America
Maritime energy generating device,US6979171,Expired,US,2003.0,2005.0,2000.0,2005.0,2018.0,Lauritsen Anders,Lauritsen Anders,False,False,True,False,False,False,False,False,False,False,False,False,North America
Method of controlling electrical rotating machines connected to a common shaft,US7002259,Expired,US,2002.0,2006.0,2001.0,2006.0,2018.0,"Platinum Equity, LLC","Clipper Windpower, LLC",False,False,False,False,False,False,False,False,False,False,False,False,North America
Wind energy installation comprising a seawater or brackish water desalination plant,US7029576,Expired,US,2003.0,2006.0,2001.0,2006.0,2014.0,Aerodyn Eng Gmbh,Aerodyn Engineering Gmbh,False,True,False,False,False,False,False,False,False,False,False,False,North America
Offshore wind turbine with multiple wind rotors and floating system,US7075189,Active,US,2003.0,2006.0,2002.0,2006.0,2024.0,The Aes Corporation,Ocean Wind Energy Systems,False,True,True,False,False,False,False,False,False,False,False,True,North America
Floating electricity production unit,US7081690,Expired,US,2004.0,2006.0,2004.0,2006.0,2018.0,Bradbury Harry James,James Arthur Bradbury,True,False,True,False,False,False,False,False,False,False,False,False,North America
Method and apparatus for determining a site for an offshore wind turbine,US7100438,Active,US,2004.0,2006.0,2004.0,2006.0,2025.0,General Electric Company,General Electric Company,False,False,True,False,False,False,False,False,False,False,False,False,North America
Cooling arrangement for an offshore wind energy installation,US7111668,Expired,US,2004.0,2006.0,2003.0,2006.0,2010.0,Rittal Gmbh & Co Kg,Rittal Gmbh & Co Kg,False,True,False,False,False,False,False,False,False,False,False,False,North America
"Apparatus, systems and methods for erecting an offshore wind turbine assembly",US7112010,Active,US,2004.0,2006.0,2003.0,2006.0,2024.0,,,True,False,False,False,False,False,False,False,False,False,False,False,North America
Hovering wind turbine,US7129596,Expired,US,2004.0,2006.0,2004.0,2006.0,2010.0,,,True,False,False,False,False,False,False,False,False,False,False,False,North America
Method for realising a submerged floating foundation with blocked vertical thrust for the coordinated production of mariculture and electrical energy using wind in open sea conditions and submergeable floating foundation for carrying loads to be used in said method,US20060062676,Expired,US,2005.0,2009.0,2002.0,2006.0,2009.0,Blue H Intellectual Properties Cyprus Limited,Blue H Intellectual Properties Cyprus Limited,False,True,True,False,False,False,False,False,False,False,False,False,North America
Hovering wind turbine,US20060091678,Expired,US,2004.0,2006.0,2004.0,2006.0,2006.0,,,False,False,False,False,False,False,False,False,False,False,False,False,North America
Offshore structure support and foundation for use with a wind turbine and an associated method of assembly,US20060104821,Expired,US,2004.0,2007.0,2004.0,2006.0,2007.0,Keystone Engineering,Keystone Engineering Inc Louisiana,True,True,False,False,False,False,False,False,False,False,False,False,North America
Offshore windmill electric generators,US20060115363,Expired,US,2005.0,2007.0,2004.0,2006.0,2007.0,"Grand Vent Power, L.l.c.","Grand Vent Power, L.l.c.",True,True,False,False,False,False,False,False,False,False,False,False,North America
Offshore structure support and foundation for use with a wind turbine and an associated method of assembly,US20060115364,Expired,US,2005.0,,2004.0,2006.0,2006.0,Keystone Engineering,Keystone Engineering Inc Louisiana,False,True,False,False,False,False,False,False,False,False,False,False,North America
Floating electricity production unit,US20060119107,Expired,US,2004.0,2006.0,2004.0,2006.0,2006.0,Bradbury Harry James,James Arthur Bradbury,False,False,True,False,False,False,False,False,False,False,False,False,North America
"Method and crane for installing, maintaining and decommissioning wind turbines",US20060120809,Expired,US,2005.0,,2002.0,2006.0,2015.0,Atkins Limited,Atkins Limited,False,True,False,False,False,False,False,False,False,False,False,False,North America
"Assembly of energy flow collectors, such as windpark, and method of operation",US20060131889,Expired,US,2005.0,2007.0,2002.0,2006.0,2007.0,Nederlandse Organisatie Voor Toegepast-natuurwetenschappelijk Onderzoek Tno,Nederlandse Organisatie Voor Toegepast-natuurwetenschappelijk Onderzoek Tno,False,False,False,False,False,False,False,False,False,False,False,False,North America
"Copolymer having at least one alkoxy-or hydroxy-polyalkylene glycol grafted function, and use thereof",US20060142498,Expired,US,2003.0,2010.0,2002.0,2006.0,2010.0,Omya International Ag,Omya International Ag,False,True,False,False,False,False,False,False,False,False,False,False,North America
Use of intersecting vane machines in combination with wind turbines,US20060150629,Expired,US,2006.0,,2003.0,2006.0,2010.0,"General Compression, Inc.,massachusetts","General Compression, Inc.,massachusetts",False,True,False,False,False,False,False,False,False,False,False,False,North America
Offshore wind park,US20060163880,Expired,US,2005.0,,2002.0,2006.0,2007.0,Enercon Gmbh,Wobben Aloys,False,True,False,False,False,False,False,False,False,False,False,False,North America
Wind turbine with floating foundation,US20060165493,Expired,US,2005.0,2007.0,2003.0,2006.0,2007.0,Mhi Vestas Offshore Wind As,Mhi Vestas Offshore Wind As,False,False,True,False,False,False,False,False,False,False,False,False,North America
Marine fishery or hunting stand combined with wind energy plant,US20060170221,Expired,US,2005.0,2010.0,2003.0,2006.0,2010.0,Enercon Gmbh,Wobben Properties Gmbh,False,True,False,False,False,False,False,False,False,False,False,False,North America
"Power generation assemblies, and apparatus for use therewith",US20060171798,Expired,US,2004.0,2007.0,2003.0,2006.0,2007.0,"Ocean Wind Technology, LLC","Ocean Wind Technology, LLC",True,False,False,False,False,False,False,False,False,False,False,False,North America
Vertical axis wind turbine,US20060188364,Expired,US,2006.0,,2005.0,2006.0,2008.0,,,True,False,False,False,False,False,False,False,False,False,False,False,North America
Method for the erection of a wind energy plant and wind energy plant,US20060220386,Expired,US,2004.0,2008.0,2003.0,2006.0,2008.0,Enercon Gmbh,Wobben Aloys,True,True,False,False,False,False,False,False,False,False,False,False,North America
Offshore wind energy system with non-skid feet,US20060222465,Expired,US,2006.0,2008.0,2005.0,2006.0,2008.0,Senvion Se,Senvion Se,False,True,False,False,False,False,False,False,False,False,False,False,North America
Stationary co-axial multi-rotor wind turbine supported by continuous central driveshaft,US20060233635,Expired,US,2006.0,2012.0,2001.0,2006.0,2012.0,Douglas Selsam,Douglas Selsam,False,True,False,False,False,False,False,False,False,False,False,False,North America
Direct compression wind energy system and applications of use,US20060248892,Active,US,2006.0,,2003.0,2006.0,2023.0,"General Compression, Inc.,massachusetts","General Compression, Inc.,massachusetts",False,True,False,False,False,False,False,False,False,False,False,False,North America
Lifting device for a wind turbine generator,WO2006076920,Expired,WO,2006.0,,2005.0,2006.0,2007.0,"A2sea A/s, Fredericia",A2sea As,True,True,False,False,False,False,False,False,False,False,False,False,Other
Offshore windmill electric generator,WO2005107425,Expired,WO,2005.0,,2004.0,2005.0,2006.0,"Grand Vent Power, L.l.c.","Grand Vent Power, L.l.c.",False,True,False,False,False,False,False,False,False,False,False,False,Other
Method for realising a submerged floating foundation with blocked vertical thrust for the coordinated production of mariculture and electrical energy using wind in open sea conditions and submergeable floating foundation for carrying loads to be used in said method,EP1592847,Expired,EP,2003.0,,2002.0,2005.0,2013.0,Blue H Intellectual Properties Cyprus Limited,Blue H Intellectual Properties Cyprus Limited,True,True,True,False,False,False,False,False,False,False,False,False,Europe
Method for the erection of a wind energy plant and wind energy plant,EP1592886,Expired,EP,2004.0,2015.0,2003.0,2005.0,2015.0,Enercon Gmbh,Wobben Properties Gmbh,False,True,False,False,False,False,False,False,False,False,False,False,Europe
Access method between marine structures and apparatus,EP1682406,Expired,EP,2004.0,2009.0,2003.0,2006.0,2009.0,Ihi Corporation,Ihc Engineering Bussiness Limited,True,False,False,False,False,False,False,False,False,False,False,False,Europe
A wind turbine for use offshore,EP1680596,Expired,EP,2004.0,2013.0,2003.0,2006.0,2013.0,Hywind As,Hywind As,True,False,False,False,False,False,False,False,False,False,False,False,Europe
Power generation assemblies,EP1676029,Expired,EP,2004.0,2016.0,2003.0,2006.0,2016.0,"Ocean Wind Technology, LLC","Ocean Wind Technology, LLC",False,False,False,False,False,False,False,False,False,False,False,False,Europe
Offshore wind turbine with device for ice prevention,WO2006066591,Expired,WO,2005.0,,2004.0,2006.0,2007.0,Millskill Ltd.,Lm Glasfiber As,False,True,False,False,False,False,False,False,False,False,False,False,Other
"System for the production of desalinated water onboard vessels, particularly single-hull vessels",WO2006067257,Expired,WO,2005.0,,2004.0,2006.0,2007.0,Lng Energy Ltd.,Lng Energy Ltd.,False,False,False,False,False,False,False,False,False,False,False,False,Other
Foundation for an offshore wind energy plant,EP1673536,Expired,EP,2004.0,2007.0,2003.0,2006.0,2007.0,Aerodyn Eng Gmbh,Aerodyn Engineering Gmbh,False,True,False,False,False,False,False,False,False,False,False,False,Europe
Paddle wheels in a flow of water,WO2006060761,Expired,WO,2005.0,,2004.0,2006.0,2007.0,"Coman, Herbert","Coman, Herbert",False,False,True,False,False,False,False,False,False,False,False,False,Other
Fixing system for floating wind generators,EP1666722,Expired,EP,2004.0,,2004.0,2006.0,2006.0,"Servicios De Ingenieria Y Montaje Alen, S.l.","Servicios De Ingenieria Y Montaje, Alen, S.l.",True,False,True,False,False,False,False,False,False,False,False,False,Europe
Hybrid generation systems using solar and wind energy,WO2006046843,Expired,WO,2005.0,,2004.0,2006.0,2007.0,"Kim, Yun","Kim, Yun",False,True,False,False,False,False,False,False,False,False,False,False,Other
Unmanned ocean vehicle,EP1651512,Expired,EP,2004.0,,2003.0,2006.0,2010.0,Solar Sailor Pty,Solar Sailor Pty,True,False,False,False,False,False,False,False,False,False,False,False,Europe
Superfinishing large planetary gear systems,EP1646477,Expired,EP,2004.0,2009.0,2003.0,2006.0,2009.0,Rem Technologies,Rem Technologies Inc,False,True,False,False,False,False,False,False,False,False,False,False,Europe
Wind energy plant,EP1646787,Expired,EP,2004.0,2016.0,2003.0,2006.0,2016.0,Enercon Gmbh,Wobben Properties Gmbh,False,True,False,False,False,False,False,False,False,False,False,False,Europe
Construction of a submerged floating foundation,WO2006038091,Expired,WO,2005.0,,2004.0,2006.0,2007.0,Enertec Aktiegesellschaft Ag,Enertec Ag,False,False,True,False,False,False,False,False,False,False,False,False,Other
Wind turbine comprising a generator cooling system,WO2006032515,Expired,WO,2005.0,,2004.0,2006.0,2007.0,Enercon Gmbh,Wobben Aloys,False,True,False,False,False,False,False,False,False,False,False,False,Other
A method and a device for installation of a windmill at sea,EP1636084,Expired,EP,2004.0,2010.0,2003.0,2006.0,2010.0,,,True,True,False,False,False,False,False,False,False,False,False,False,Europe
Remote shut down of offshore wind turbine,EP1636489,Expired,EP,2003.0,,2003.0,2006.0,2014.0,General Electric Company,General Electric Company,True,False,False,False,False,False,False,False,False,False,False,False,Europe
Floating energy converter,WO2006026838,Expired,WO,2005.0,,2004.0,2006.0,2007.0,Hendrick,Hendrick,True,False,False,False,False,False,False,False,False,False,False,False,Other
"Transport and foundation of functional units, in particular offshore wind turbines.",EP1634998,Expired,EP,2005.0,,2004.0,2006.0,2013.0,Maierform Sa,Maierform Sa,False,True,False,False,True,False,True,False,False,False,False,False,Europe
Foundation for an offshore-wind farm,WO2006024244,Expired,WO,2004.0,,2004.0,2006.0,2007.0,Bard Engineering Gmbh,Bard Engineering Gmbh,True,True,False,False,False,False,False,False,False,False,False,False,Other
Industrial-scale wind-energy-collection system which can be installed in the sea,WO2006018467,Expired,WO,2005.0,,2004.0,2006.0,2007.0,Juan Domingo Bernal Curto,Juan Domingo Bernal Curto,True,True,True,False,False,False,False,False,False,False,False,False,Other
Access method between marine structures and apparatus,WO2006013342,Expired,WO,2005.0,,2004.0,2006.0,2007.0,The Engineering Business Limited,The Engineering Business Limited,True,False,False,False,False,False,False,False,False,False,False,False,Other
Rescue capsule for wind energy plants,EP1624186,Expired,EP,2005.0,2015.0,2004.0,2006.0,2015.0,Senvion Se,Senvion Gmbh,False,True,False,False,False,False,False,False,False,False,False,False,Europe
A wrap hollow wheel and its operating device thereof,WO2006007768,Expired,WO,2004.0,,2004.0,2006.0,2007.0,,,True,True,False,False,False,False,False,False,False,False,False,False,Other
Wind power station,EP1618301,Expired,EP,2004.0,2008.0,2003.0,2006.0,2008.0,"Sway As, Norway",Sway As,False,False,True,False,False,False,False,False,False,True,False,False,Europe
"Lifting device for water vehicles, mounted to an offshore wind energy installation",WO2006005705,Expired,WO,2005.0,,2004.0,2006.0,2007.0,Enercon Gmbh,Wobben Aloys,False,True,False,False,False,False,False,False,False,False,False,False,Other
Method and apparatus for determining a site for an offshore wind turbine,EP1617076,Expired,EP,2005.0,,2004.0,2006.0,2012.0,General Electric Company,General Electric Company,False,False,True,False,False,False,False,False,False,False,False,False,Europe
"A vessel for transporting wind turbines, methods of moving a wind turbine, and a wind turbine for an off-shore wind farm",EP1611005,Expired,EP,2004.0,,2003.0,2006.0,2013.0,Logima Vsvend Erik Hansen,Logima Vsvend Erik Hansen,False,False,False,False,False,False,False,False,False,False,False,False,Europe
Locating bearing assembly for wind turbine gearbox shaft,WO2005110032,Expired,WO,2005.0,,2004.0,2005.0,2006.0,The Timken Company,The Timken Company,True,False,False,False,False,False,False,False,False,False,False,False,Other
Hovering wind turbine,WO2005067373,Expired,WO,2005.0,,2004.0,2005.0,2006.0,,,False,False,False,False,False,False,False,False,False,False,False,False,Other
The use of intersecting vane machines in combination with wind turbines,WO2005062969,Expired,WO,2004.0,,2003.0,2005.0,2006.0,Mechanology LLC A Delaware Limited Liability Company,Mechanology LLC,False,True,False,False,False,False,False,False,False,False,False,False,Other
